Palabra clave de búsqueda
1 de abril de 2026 - 9 de abril de 2026
Palabra clave de búsqueda,Estado de las palabras clave de búsqueda,Motivos del estado de las palabras clave de búsqueda,Tipo de concordancia de palabra clave de búsqueda,Campaña,Grupo de anuncios,Código de moneda,CPC máximo de palabras clave,Clics,Impr.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.,CPM medio
laptop mosca,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
vuelta al cole mosca,En pausa,en pausa; no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
accesorios de computadora mosca,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
accesorios de pc mosca,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
computadoras moscas,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
disco duro mosca,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
equipos de audio mosca,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
equipos electronicos mosca,En pausa,en pausa; no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
equipos gaming mosca,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresiones mosca,En pausa,en pausa; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
impresora mosca,No apto,grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
microfonos mosca,No apto,no suele publicarse; grupo de anuncios en pausa,Concordancia amplia,Search | Brand (CONV),Tecnologia,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
trivia,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
barbie,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
vtech,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
legos,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ukulele,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
patines en linea,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lego duplo,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lego city,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cry babies,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
triciclo,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
planetario,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tiendas de juguetes,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
art&craft,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda juguetes,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes baratos,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
monopatin dos ruedas,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
skate madera,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes online baratos,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes para comprar,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ofertas de juguetes,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ofertas juguetes,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pizarra de pie,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
venta de juguetes,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar juguetes online,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
jugueterias online,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lol surprise,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
imanix,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar juguetes,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tienda juguetes online,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de paw patrol,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de paw patrol,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
monopatin plegable,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
muñecas baratas,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes a domicilio,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes de harry potter,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes superheroes,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
juguetes lol,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
jugueterias en montevideo,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
set bloques,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
patrulla cachorros,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
bebe lloron,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
casa muñeca de madera,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
robot rana,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
robosapien remix,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"""tiendas de juguetes en internet",No apto,rechazado; no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
ano hidràulica,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
art&craft almohadon flores royal,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chivita bici en madera azul,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chivita bici en madera roja,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chivita bici en madera rosa,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
chivita bici en madera verde,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
estacionamientos 3 pisos,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
futbolito de pie,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
h-w reto lanzamiento de cohete flk60,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pizarra mágica con pie,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
set arco futbol y basquet,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
set patines c/accesorios,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
skate plástica 60 cm,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
vtech armando pila de aritos 80-166322,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
vtech patrulla marshall letras,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
vtech tut tut camion obras,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Juguetes,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros baratos,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar libros online,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
comprar libros,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
librerias online,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros español,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
compra de libros,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
editoriales de libros,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros de harry potter,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros en ingles,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros nuevos,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libreria infantil,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuentos para dormir,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libreria en ingles,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libro para,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros de cuentos para leer,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libro libro,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros a domicilio,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libreria cerca,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros libros libros,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
librerias en montevideo,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libros infantiles gratis para leer,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
literatura infantil libros,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
libreria online,No apto,campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
betular pasteleria volumen 1 catapulta,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
la cocina de sante grijalbo,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
marian la que cocina. el libro planeta,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
pura pasta donato de santis catapulta,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
tentaciones crandon,No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
the 50 best ensaladas catapulta,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
the 50 best sandwiches catapulta,No apto,no suele publicarse; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""100 años de soledad""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""don quijote de la mancha""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""el principito""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""el secreto""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""harry potter""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""la divina comedia""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""los cuatro acuerdos""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""muchas vidas muchos maestros""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""padre rico padre pobre""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"comprar ""rayuela""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""100 años de soledad""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""don quijote de la mancha""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""el principito""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""el secreto""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""harry potter""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""la divina comedia""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""los cuatro acuerdos""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""muchas vidas muchos maestros""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""padre rico padre pobre""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"precio ""rayuela""",No apto,campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Libros,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartuchera,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila escolar grande,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
artículos de papelería,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
utiles escolares,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
materiales escolares,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cartuchera para niña,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila para niño,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
mochila para niña,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lista de materiales escolares,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
marcadores para niños,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
cuaderno escolar,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lapices para colorear,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
lapices para niños,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"""articulos escolares",No apto,rechazado; grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
útiles escolares lista,No apto,grupo de anuncios en pausa; campaña en pausa,Concordancia de frase,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"""lista de utiles",No apto,rechazado; grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
"""mochilas escolares",No apto,rechazado; grupo de anuncios en pausa; campaña en pausa,Concordancia amplia,VM_S_NB_Category,S_NB_Category_Escolares,USD,"0,01",0,0,0,0,"0,00",0,0,"0,00",0,0,0,0
